20000001,2019-05-08 06:47:30.443425,2019-05-07 00:52:38.443576,6000184,30000809
20000002,2019-05-07 11:17:19.444029,2019-05-06 11:24:05.444029,6000308,30001099
20000003,2019-05-13 04:52:24.444029,2019-05-12 02:49:33.444525,6000509,30000759
20000004,2019-05-11 06:44:50.444525,2019-05-10 09:08:37.444525,6000023,30000425
20000005,2019-05-11 08:03:16.444525,2019-05-10 05:22:04.444525,6000185,30000806
20000006,2019-05-12 01:29:01.444525,2019-05-11 01:58:04.444525,6000369,30000056
20000007,2019-05-08 23:55:25.445020,2019-05-08 08:39:29.445020,6000322,30000234
20000008,2019-05-09 05:47:37.445020,2019-05-07 23:36:47.445020,6000402,30001309
20000009,2019-05-04 06:28:36.445020,2019-05-03 01:36:41.445020,6000449,30000681
20000010,2019-05-08 06:22:17.445020,2019-05-07 02:25:34.445020,6000529,30001137
20000011,2019-05-16 04:10:25.445020,2019-05-15 00:57:52.445020,6000225,30001277
20000012,2019-05-15 08:59:47.445020,2019-05-14 00:00:16.445020,6000203,30000428
20000013,2019-05-10 02:43:20.445020,2019-05-09 06:50:26.445020,6000116,30000722
20000014,2019-05-14 04:08:29.445020,2019-05-13 00:19:28.445020,6000040,30001057
20000015,2019-05-13 01:52:04.445516,2019-05-12 11:48:32.445516,6000563,30001018
20000016,2019-05-05 07:46:29.445516,2019-05-04 05:47:29.445516,6000545,30000002
20000017,2019-05-11 09:25:56.445516,2019-05-10 02:20:05.445516,6000243,30000630
20000018,2019-05-12 02:07:10.445516,2019-05-11 11:25:31.445516,6000316,30000202
20000019,2019-05-16 09:29:23.445516,2019-05-15 01:37:47.445516,6000259,30001118
20000020,2019-05-06 06:42:47.445516,2019-05-05 00:09:16.445516,6000014,30000028
20000021,2019-05-04 10:44:34.445516,2019-05-02 23:50:46.445516,6000279,30000889
20000022,2019-05-07 01:08:39.445516,2019-05-06 05:38:16.445516,6000047,30000532
20000023,2019-05-05 06:38:54.445516,2019-05-04 12:23:07.445516,6000598,30000678
20000024,2019-05-10 10:54:43.445516,2019-05-09 09:56:50.445516,6000095,30000584
20000025,2019-05-16 06:37:30.446012,2019-05-15 00:12:29.446012,6000352,30001269
20000026,2019-05-07 01:01:44.446012,2019-05-06 06:46:53.446012,6000188,30000496
20000027,2019-05-08 12:18:52.446012,2019-05-07 03:05:54.446012,6000590,30000631
20000028,2019-05-11 03:21:02.446012,2019-05-10 08:04:05.446012,6000561,30000630
20000029,2019-05-06 09:32:38.446012,2019-05-05 04:13:59.446012,6000521,30001118
20000030,2019-05-05 01:36:25.446012,2019-05-04 06:57:13.446012,6000262,30000509
20000031,2019-05-13 02:00:34.446012,2019-05-12 02:06:48.446012,6000077,30000383
20000032,2019-05-04 07:59:34.446012,2019-05-03 04:11:17.446012,6000199,30000710
