1001,蒙牛纯牛奶,蒙牛（MENGNIU）,中国大陆,170,9,N,68.9,1,纯牛奶,饮料
1002,伊利牛奶,伊利,中国大陆,140,7,N,59.2,1,纯牛奶,饮料
1003,蒙牛牛奶,蒙牛（MENGNIU）,陕西省宝鸡市/河北省保定市/内蒙古呼和浩特市,200,7,N,36.9,1,纯牛奶,饮料
1004,德亚牛奶,德亚（Weidendorf）,德国,290,6,N,79.9,1,纯牛奶,饮料
1005,伊利纯牛奶礼盒装16*250ml,伊利,中国,350,6,N,39.4,1,纯牛奶,饮料
1006,三元小方白纯牛奶 250ml*24礼盒装,三元（SAN YUAN）,中国大陆,90,7,N,52.8,1,纯牛奶,饮料
1007,蒙牛高钙低脂牛奶250ml*24礼盒装,蒙牛（MENGNIU）,中国 内蒙古包头市,120,7,N,66.9,1,纯牛奶,饮料
1008,光明纯奶,光明,上海,250,8,N,49.9,1,纯牛奶,饮料
1009,伊利金典纯牛奶,伊利,中国大陆,320,6,N,59.8,1,纯牛奶,饮料
1010,欧德堡牛奶,欧德堡（Oldenburger）,德国,200,7,N,69,1,纯牛奶,饮料
1011,纽仕兰250ml*24家庭装,纽仕兰（Theland）,新西兰,170,10,N,79,1,纯牛奶,饮料
1012,安佳超高温灭菌全脂牛奶,安佳（Anchor）,新西兰,190,6,N,88,1,纯牛奶,饮料
1013,君乐宝遇见奶牛纯牛奶原味24入,君乐宝（JUNLEBAO）,中国大陆,150,10,N,55,1,纯牛奶,饮料
1014,蒙牛牛奶,蒙牛（MENGNIU）,安徽等,140,8,N,40.8,1,纯牛奶,饮料
1015,三元三元纯牛奶,三元（SAN YUAN）,北京、天津、河北,60,9,N,29.8,1,纯牛奶,饮料
1016,伊利无菌枕 纯牛奶 家庭装 240ml*16包,伊利,中国大陆,290,9,N,35.8,1,纯牛奶,饮料
1017,伊利金典,伊利,中国大陆,340,7,N,71.8,1,纯牛奶,饮料
1018,兰雀1L*12,兰雀,波兰,350,7,N,88,1,纯牛奶,饮料
1019,蒙牛牛奶,蒙牛（MENGNIU）,中国大陆,310,7,N,43.9,1,纯牛奶,饮料
1020,蒙牛纯牛奶250*24,蒙牛（MENGNIU）,呼和浩特,170,6,N,65.9,1,纯牛奶,饮料
1021,纽仕兰牛奶,纽仕兰（Theland）,新西兰,190,7,N,129,1,纯牛奶,饮料
1022,三元小方白纯牛奶 250ml*16礼盒装,三元（SAN YUAN）,中国大陆,350,6,N,32.9,1,纯牛奶,饮料
1023,蒙牛特仑苏,蒙牛（MENGNIU）,中国内蒙古包头市,90,7,N,80,1,纯牛奶,饮料
1024,伊利牛奶,伊利,河北/内蒙古/北京,240,8,N,57.5,1,纯牛奶,饮料
1025,澳伯顿澳大利亚 进口牛奶 澳伯顿（So Natural）全脂纯牛奶 200ml*24盒,澳伯顿,澳大利亚,120,10,N,59,1,纯牛奶,饮料
1026,伊利伊利无菌砖高钙低脂奶250ml*24,伊利,中国大陆,320,9,N,62.7,1,纯牛奶,饮料
1027,纽仕兰牛奶,纽仕兰（Theland）,新西兰,150,9,N,79,1,纯牛奶,饮料
1028,爱氏晨曦牛奶,爱氏晨曦（arla）,德国,30,6,N,109.9,1,纯牛奶,饮料
1029,伊利纯牛奶礼盒装6*1000ml,伊利,中国,230,9,N,51.7,1,纯牛奶,饮料
1030,德亚牛奶,德亚（Weidendorf）,德国,70,9,N,119.9,1,纯牛奶,饮料
1031,伊利牛奶,伊利,河北/内蒙古/北京,310,6,N,58.2,1,纯牛奶,饮料
1032,伊利百利包纯牛奶 家庭装 200ML*16包,伊利,中国大陆,310,9,N,28.8,1,纯牛奶,饮料
1033,新希望低温纯牛奶,新希望（new hope）,河北保定,280,8,N,38.7,1,纯牛奶,饮料
1034,尼平河全脂纯牛奶200ml*24,尼平河（NEPEAN RIVER DAIRY）,澳大利亚,260,10,N,69,1,纯牛奶,饮料
1035,安佳超高温灭菌100%全脂纯牛奶,安佳（Anchor）,新西兰,30,7,N,138,1,纯牛奶,饮料
1036,德亚低脂牛奶200ml*30,德亚（Weidendorf）,德国,240,10,N,69.9,1,纯牛奶,饮料
1037,蒙牛牛奶,蒙牛（MENGNIU）,内蒙古/安徽/河北,360,8,N,54.9,1,纯牛奶,饮料
1038,牛奶,蒙牛（MENGNIU）,内蒙古/安徽/河北等,300,7,N,59.9,1,纯牛奶,饮料
1039,兰雀200g*24,兰雀,德国,280,6,N,49.9,1,纯牛奶,饮料
1040,新希望致轻纯牛奶,新希望（new hope）,山东青岛,190,10,N,31.9,1,纯牛奶,饮料
